timestamp,flex1,flex2
1772275357.1426015,792,784
1772275359.6463518,792,784
1772275363.8088706,792,784
1772275366.2850845,792,784
1772275368.7723377,792,784
1772275371.248717,792,784
1772275373.7288594,129,112
1772275376.2241027,1046,1011
1772275378.7030363,1046,1011
1772275381.122574,0,0
1772275383.6395285,0,0
1772275386.1123304,0,0
1772275388.609639,0,0
1772275391.0919023,528,491
1772275393.5727932,528,491
1772275396.0543578,976,1006
1772275398.6220913,976,1006
1772275401.0964909,0,0
1772275403.654116,0,0
1772275406.1645248,0,0
1772275408.7104611,0,0
1772275411.192121,0,0
1772275413.742347,0,0
1772275416.2127395,0,0
1772275418.9981873,0,0
1772275421.4639518,193,177
1772275424.0026155,193,177
1772275426.4568703,925,931
1772275428.9655185,925,931
1772275431.4224138,207,208
1772275433.902622,207,208
1772275436.3905754,0,0
1772275438.8687687,0,0
1772275441.3470294,263,286
1772275443.8234484,263,286
1772275446.2999446,835,850
1772275448.775292,835,850
1772275451.2822304,541,511
1772275453.8223913,541,511
1772275456.307685,0,0
1772275458.7861712,0,0
1772275461.2315888,0,0
1772275463.7020357,0,0
1772275466.2222707,0,0
1772275468.703714,0,0
1772275471.197167,0,0
1772275473.7585137,0,0
1772275476.2181334,553,523
1772275478.6922545,553,523
1772275481.181826,0,0
1772275483.6823533,0,0
1772275486.1602056,0,0
1772275488.6394272,0,0
1772275491.1630993,0,0
1772275493.7664058,0,0
1772275496.318181,0,0
1772275498.8827555,0,0
1772275501.373537,334,327
1772275503.912394,334,327
1772275506.402356,0,0
1772275508.8553326,0,0
1772275511.3858538,0,0
1772275513.9236753,0,0
1772275516.396963,0,0
1772275518.9024084,0,0
1772275521.428435,0,0
1772275523.914323,0,0
1772275526.4036026,0,0
1772275528.8766582,0,0
1772275531.383039,0,0
1772275533.9152951,0,0
1772275536.4126127,0,0
1772275538.8871076,0,0
1772275541.5425708,0,0
1772275544.0435905,0,0
1772275546.6190102,0,0
1772275549.2274935,0,0
1772275551.781641,0,0
1772275554.3950112,0,0
1772275556.9020526,0,0
1772275559.477772,0,0
1772275561.9912162,0,0
1772275564.5114589,0,0
1772275567.069394,0,0
1772275569.6196184,0,0
1772275572.1805847,0,0
1772275574.7396066,0,0
1772275577.3102388,0,0
1772275579.8632028,0,0
1772275582.4329405,0,0
1772275584.9573295,0,0
1772275587.5355103,0,0
1772275590.0150044,0,0
1772275594.1734014,0,0
1772275596.7413616,0,0
1772275599.2945952,0,0
1772275601.7828069,0,0
1772275604.346549,0,0
1772275606.9037666,0,0
1772275609.4962313,0,0
1772275612.0232844,0,0
1772275614.4971418,0,0
1772275617.0592525,0,0
1772275619.5663424,0,0
1772275622.1153286,0,0
1772275624.8942568,0,0
1772275627.3731148,0,0
1772275629.9459581,0,0
1772275632.493943,0,0
1772275635.0718005,0,0
1772275637.631002,0,0
1772275640.1382523,0,0
1772275642.679661,0,0
1772275645.1749315,0,0
1772275647.7088578,0,0
1772275650.206191,0,0
1772275652.7661467,0,0
1772275655.3255768,0,0
1772275658.0565274,0,0
1772275660.575004,0,0
1772275663.2448156,0,0
1772275665.7957237,0,0
1772275668.354566,0,0
1772275670.8942862,0,0
1772275673.4890418,0,0
1772275676.157902,0,0
1772275678.7545145,0,0
1772275681.3143637,0,0
1772275683.8885148,0,0
1772275686.4360585,0,0
1772275689.0043247,0,0
1772275691.507803,0,0
1772275694.0038872,0,0
1772275696.5272617,0,0
1772275699.0273345,0,0
1772275701.575955,0,0
1772275704.099161,0,0
1772275706.7804003,0,0
1772275709.3714664,0,0
1772275713.482251,0,0
1772275716.0500476,0,0
1772275718.6108649,0,0
1772275721.16336,0,0
1772275723.7250967,0,0
1772275726.2884386,0,0
1772275728.8322809,0,0
1772275731.418594,0,0
1772275733.9719322,0,0
1772275736.5287085,0,0
1772275739.0735385,0,0
1772275741.575753,0,0
1772275744.1945653,0,0
1772275746.7531545,0,0
1772275749.3147335,0,0
1772275751.8254921,0,0
1772275754.367659,0,0
1772275756.8887372,0,0
1772275759.4879732,0,0
1772275762.0479455,0,0
1772275764.6812928,0,0
1772275767.2141175,0,0
1772275771.427906,0,0
1772275773.916362,0,0
1772275776.417762,0,0
1772275778.9211009,0,0
1772275781.480675,0,0
1772275784.0429957,0,0
1772275786.5924244,0,0
1772275789.1659305,0,0
1772275791.7071784,0,0
1772275794.2816606,0,0
1772275796.8349297,0,0
1772275799.3703964,0,0
1772275801.8876069,0,0
1772275804.4625645,0,0
1772275807.0687892,0,0
1772275809.6339762,0,0
1772275812.2098799,40,31
1772275814.7447853,40,31
1772275817.2428455,278,283
1772275819.8798578,278,283
1772275823.3143036,278,283
1772275825.8895736,278,283
1772275828.4499435,80,79
1772275831.0070896,80,79
1772275833.6444998,80,79
1772275836.2117114,80,79
1772275838.7796288,80,79
1772275841.3086424,80,79
1772275843.8699698,80,79
1772275846.4420693,80,79
1772275849.0086255,80,79
1772275851.529501,48,43
1772275854.1253424,48,43
1772275856.6937406,302,304
1772275859.2483714,302,304
1772275861.806482,219,214
1772275864.3744168,219,214
1772275866.9348252,49,55
1772275869.473138,49,55
